method,SMD_mean_f1_pct,SVDB_mean_f1_pct,MITDB_mean_f1_pct,Exathlon_mean_f1_pct,Daphnet_mean_f1_pct,all_48_mean_f1_pct
k-means,60.1,58.3,64.2,63.5,46.2,59.12
OCSVM,58.3,57.5,67.2,73.2,39.8,58.24
MAD-GAN,84.2,63.0,22.6,61.5,56.4,69.29
OmniAnomaly,85.4,73.9,82.3,74.2,65.1,79.58
USAD,94.1,59.6,68.5,72.4,63.5,77.65
GDN,75.2,79.1,67.2,50.3,57.3,73.69
AT,94.2,76.7,85.6,61.3,63.4,84.34
TranAD,79.1,80.5,66.9,63.4,64.3,76.94
FuSAGNet,83.3,63.1,74.8,43.1,59.7,72.74
MTGFlow,88.4,75.3,83.2,58.8,67.6,81.10
GCAD,91.7,73.1,84.3,65.1,64.2,82.10
STAMP,62.3,81.3,72.8,66.5,51.6,69.02
DAMP,63.7,80.2,75.7,64.3,47.3,69.21
Ours,96.4,85.6,89.0,69.5,66.3,89.19
