method,SMD_mean_f1_pct,SVDB_mean_f1_pct,MITDB_mean_f1_pct,Exathlon_mean_f1_pct,Daphnet_mean_f1_pct,all_48_mean_f1_pct
k-means,60.086957,58.337500,64.225000,63.500000,46.200000,59.122917
OCSVM,58.295652,57.531250,67.150000,73.150000,39.800000,58.241667
MAD-GAN,84.186957,62.950000,22.550000,61.450000,56.400000,69.287500
OmniAnomaly,85.413043,73.887500,82.325000,74.250000,65.100000,79.579167
USAD,94.104348,59.606250,68.475000,72.400000,63.500000,77.652083
GDN,75.221739,79.106250,67.225000,50.300000,57.300000,73.691667
AT,94.169565,76.693750,85.625000,61.300000,63.400000,84.339583
TranAD,79.060870,80.462500,66.900000,63.450000,64.300000,76.941667
FuSAGNet,83.343478,63.106250,74.850000,43.100000,59.700000,72.735417
MTGFlow,88.430435,75.343750,83.175000,58.850000,67.600000,81.095833
GCAD,91.747826,73.137500,84.350000,65.100000,64.200000,82.095833
STAMP,62.286957,81.325000,72.825000,66.500000,51.600000,69.018750
DAMP,63.726087,80.200000,75.725000,64.300000,47.300000,69.214583
Ours,96.430435,85.581250,89.050000,69.500000,66.300000,89.193750
