method,average_rank,mean_f1_pct,rank_difference_vs_ours,z,raw_p_value,holm_p_value,significant_at_0.05
Ours,1.28,89.19,,,,,
AT,3.89,84.34,2.60,3.05,0.0022907942,0.0022907942,Yes
GCAD,5.62,82.10,4.34,5.09,3.6400365e-07,7.2800731e-07,Yes
MTGFlow,5.95,81.10,4.67,5.47,4.6280137e-08,1.3884041e-07,Yes
OmniAnomaly,6.23,79.58,4.95,5.79,6.8563133e-09,2.7425253e-08,Yes
USAD,6.57,77.65,5.29,6.20,5.7562125e-10,2.8781063e-09,Yes
TranAD,7.06,76.94,5.78,6.77,1.2850963e-11,7.7105776e-11,Yes
GDN,8.40,73.69,7.11,8.33,7.9658122e-17,5.5760686e-16,Yes
STAMP,8.48,69.02,7.20,8.43,3.4762948e-17,2.7810359e-16,Yes
DAMP,8.71,69.21,7.43,8.70,3.3865044e-18,3.0478539e-17,Yes
FuSAGNet,8.72,72.74,7.44,8.71,3.0412112e-18,3.0412112e-17,Yes
MAD-GAN,8.91,69.29,7.62,8.93,4.2799396e-19,4.7079335e-18,Yes
k-means,12.46,59.12,11.18,13.09,3.7928633e-39,4.5514359e-38,Yes
OCSVM,12.73,58.24,11.45,13.41,5.5446245e-41,7.2080119e-40,Yes
