collection,dataset,learning_type,archive_url
SMD,machine-1-1,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-1-2,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-1-3,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-1-5,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-1-8,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-1,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-3,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-4,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-5,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-6,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-7,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-8,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-2-9,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-1,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-10,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-11,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-3,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-4,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-5,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-6,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-7,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-8,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
SMD,machine-3-9,semi-supervised,https://my.hidrive.com/api/sharelink/download?id=W0CGA01i
Exathlon,5_1_100000_63-64,unsupervised,https://my.hidrive.com/api/sharelink/download?id=q9imgqn3
Exathlon,5_1_100000_64-63,unsupervised,https://my.hidrive.com/api/sharelink/download?id=q9imgqn3
SVDB,803,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,820,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,825,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,827,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,842,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,845,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,853,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,857,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,858,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,864,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,871,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,872,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,873,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,886,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,888,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
SVDB,894,unsupervised,https://my.hidrive.com/api/sharelink/download?id=lmCmAjUP
MITDB,103,unsupervised,https://my.hidrive.com/api/sharelink/download?id=YcCmAEXy
MITDB,111,unsupervised,https://my.hidrive.com/api/sharelink/download?id=YcCmAEXy
MITDB,115,unsupervised,https://my.hidrive.com/api/sharelink/download?id=YcCmAEXy
MITDB,117,unsupervised,https://my.hidrive.com/api/sharelink/download?id=YcCmAEXy
Daphnet,S08R01E2,unsupervised,https://my.hidrive.com/api/sharelink/download?id=SfCmg30B
Daphnet,S09R01E0,unsupervised,https://my.hidrive.com/api/sharelink/download?id=SfCmg30B
Daphnet,S09R01E4,unsupervised,https://my.hidrive.com/api/sharelink/download?id=SfCmg30B
