source,dataset,method,precision_pct,recall_pct,f1_pct,time_s
SMD,machine-1-1,k-means,61.8,58.1,59.9,13
SMD,machine-1-1,OCSVM,61.2,56.4,58.7,12
SMD,machine-1-1,MAD-GAN,88.7,78.9,83.5,21
SMD,machine-1-1,OmniAnomaly,89.4,81,85,154
SMD,machine-1-1,USAD,96.1,91.2,93.6,68
SMD,machine-1-1,GDN,78.6,70.3,74.2,20
SMD,machine-1-1,AT,95.8,91.1,93.4,196
SMD,machine-1-1,TranAD,80.3,65.9,72.4,18
SMD,machine-1-1,FuSAGNet,87.1,80.6,83.7,370
SMD,machine-1-1,MTGFlow,91.5,84.2,87.7,162
SMD,machine-1-1,GCAD,95.2,92.4,93.8,120
SMD,machine-1-1,STAMP,65.2,58.2,61.5,35
SMD,machine-1-1,DAMP,67.4,60.9,64,43
SMD,machine-1-1,Ours,96.8,91.2,93.9,111
SMD,machine-1-2,k-means,64.2,53.9,58.6,14
SMD,machine-1-2,OCSVM,58.6,52,55.1,15
SMD,machine-1-2,MAD-GAN,84.2,76.9,80.4,23
SMD,machine-1-2,OmniAnomaly,91.7,82.7,87,177
SMD,machine-1-2,USAD,95.3,91.6,93.4,77
SMD,machine-1-2,GDN,81.4,74.1,77.6,23
SMD,machine-1-2,AT,97.5,92.8,95.1,223
SMD,machine-1-2,TranAD,83.1,72.1,77.2,21
SMD,machine-1-2,FuSAGNet,85.4,77.2,81.1,407
SMD,machine-1-2,MTGFlow,89.6,83.4,86.4,181
SMD,machine-1-2,GCAD,93.1,87.7,90.3,136
SMD,machine-1-2,STAMP,55.1,48,51.3,39
SMD,machine-1-2,DAMP,75.1,71,73,49
SMD,machine-1-2,Ours,97.4,93.9,95.6,127
SMD,machine-1-3,k-means,62.5,59.4,60.9,15
SMD,machine-1-3,OCSVM,63.7,56.4,59.8,14
SMD,machine-1-3,MAD-GAN,90.1,82.3,86,25
SMD,machine-1-3,OmniAnomaly,86.5,79.9,83.1,166
SMD,machine-1-3,USAD,97.2,92.5,94.8,74
SMD,machine-1-3,GDN,80.1,72.8,76.3,21
SMD,machine-1-3,AT,95.8,91.9,93.8,211
SMD,machine-1-3,TranAD,85.2,76.5,80.6,20
SMD,machine-1-3,FuSAGNet,90.2,83.8,86.9,425
SMD,machine-1-3,MTGFlow,94.1,88.9,91.4,174
SMD,machine-1-3,GCAD,94.8,90.7,92.7,129
SMD,machine-1-3,STAMP,68.4,60.7,64.3,42
SMD,machine-1-3,DAMP,65.3,58.1,61.5,47
SMD,machine-1-3,Ours,98.1,96.7,97.4,119
SMD,machine-1-5,k-means,66.1,57.9,61.7,13
SMD,machine-1-5,OCSVM,59.8,54.8,57.2,13
SMD,machine-1-5,MAD-GAN,86.5,82,84.2,22
SMD,machine-1-5,OmniAnomaly,92.8,84.7,88.6,184
SMD,machine-1-5,USAD,96.8,93.9,95.3,71
SMD,machine-1-5,GDN,76.8,69.4,72.9,24
SMD,machine-1-5,AT,97.1,94.3,95.7,235
SMD,machine-1-5,TranAD,82.4,71.4,76.5,19
SMD,machine-1-5,FuSAGNet,84.8,74.8,79.5,391
SMD,machine-1-5,MTGFlow,88.7,80.9,84.6,190
SMD,machine-1-5,GCAD,93.8,89.1,91.4,143
SMD,machine-1-5,STAMP,62.7,57.2,59.8,37
SMD,machine-1-5,DAMP,62.8,54.9,58.6,52
SMD,machine-1-5,Ours,97.6,96,96.8,135
SMD,machine-1-8,k-means,59.4,54.4,56.8,16
SMD,machine-1-8,OCSVM,64.3,57.8,60.9,16
SMD,machine-1-8,MAD-GAN,91.2,84.5,87.7,24
SMD,machine-1-8,OmniAnomaly,90.3,81.3,85.6,172
SMD,machine-1-8,USAD,95.2,90.7,92.9,79
SMD,machine-1-8,GDN,83.7,75.2,79.2,22
SMD,machine-1-8,AT,94.9,91,92.9,218
SMD,machine-1-8,TranAD,87.1,78.7,82.7,23
SMD,machine-1-8,FuSAGNet,89.6,81.6,85.4,448
SMD,machine-1-8,MTGFlow,92.8,86.8,89.7,169
SMD,machine-1-8,GCAD,96.1,93.2,94.6,132
SMD,machine-1-8,STAMP,69.2,63.3,66.1,40
SMD,machine-1-8,DAMP,70.9,62.1,66.2,45
SMD,machine-1-8,Ours,99.1,98.5,98.8,123
SMD,machine-2-1,k-means,65.7,59.6,62.5,14
SMD,machine-2-1,OCSVM,57.2,52,54.5,14
SMD,machine-2-1,MAD-GAN,85.3,78,81.5,20
SMD,machine-2-1,OmniAnomaly,85.7,77.3,81.3,161
SMD,machine-2-1,USAD,97.1,91.9,94.4,73
SMD,machine-2-1,GDN,77.2,70.3,73.6,19
SMD,machine-2-1,AT,96.7,92.3,94.5,204
SMD,machine-2-1,TranAD,79.5,71,75,17
SMD,machine-2-1,FuSAGNet,86.7,78.9,82.6,386
SMD,machine-2-1,MTGFlow,93.2,87.4,90.2,185
SMD,machine-2-1,GCAD,92.7,87.1,89.8,125
SMD,machine-2-1,STAMP,61.4,56.2,58.7,36
SMD,machine-2-1,DAMP,68.3,60,63.9,50
SMD,machine-2-1,Ours,96.5,93,94.7,116
SMD,machine-2-3,k-means,61.2,54.9,57.9,15
SMD,machine-2-3,OCSVM,64.8,58.5,61.5,12
SMD,machine-2-3,MAD-GAN,89.6,81.6,85.4,26
SMD,machine-2-3,OmniAnomaly,91.2,84.5,87.7,190
SMD,machine-2-3,USAD,96.4,91.7,94,66
SMD,machine-2-3,GDN,85.3,77.8,81.4,25
SMD,machine-2-3,AT,98.1,94.8,96.4,229
SMD,machine-2-3,TranAD,84.9,75.5,79.9,22
SMD,machine-2-3,FuSAGNet,91.3,85.5,88.3,418
SMD,machine-2-3,MTGFlow,90.4,82,86,177
SMD,machine-2-3,GCAD,95.1,89.7,92.3,139
SMD,machine-2-3,STAMP,67.3,60.8,63.9,44
SMD,machine-2-3,DAMP,73.8,65.9,69.6,46
SMD,machine-2-3,Ours,98,96.4,97.2,131
SMD,machine-2-4,k-means,67.3,59.6,63.2,13
SMD,machine-2-4,OCSVM,59.4,53.7,56.4,15
SMD,machine-2-4,MAD-GAN,86.8,78.1,82.2,23
SMD,machine-2-4,OmniAnomaly,88.6,79.9,84,175
SMD,machine-2-4,USAD,97,92.3,94.6,81
SMD,machine-2-4,GDN,75.1,67.1,70.9,21
SMD,machine-2-4,AT,94.2,89.1,91.6,241
SMD,machine-2-4,TranAD,86.4,76.8,81.3,20
SMD,machine-2-4,FuSAGNet,85.2,75.8,80.2,455
SMD,machine-2-4,MTGFlow,95.4,91.1,93.2,165
SMD,machine-2-4,GCAD,93.9,87.9,90.8,134
SMD,machine-2-4,STAMP,58.4,53.2,55.7,38
SMD,machine-2-4,DAMP,59.7,52.2,55.7,44
SMD,machine-2-4,Ours,97.1,93.8,95.4,121
SMD,machine-2-5,k-means,58.1,53.3,55.6,17
SMD,machine-2-5,OCSVM,62.1,55.8,58.8,13
SMD,machine-2-5,MAD-GAN,90.7,83.4,86.9,21
SMD,machine-2-5,OmniAnomaly,93.4,86.5,89.8,168
SMD,machine-2-5,USAD,97.3,92.8,95,75
SMD,machine-2-5,GDN,80.4,71.3,75.6,23
SMD,machine-2-5,AT,97.4,94.1,95.7,216
SMD,machine-2-5,TranAD,81.2,70.9,75.7,18
SMD,machine-2-5,FuSAGNet,89.8,80.2,84.7,402
SMD,machine-2-5,MTGFlow,92.1,85.2,88.5,192
SMD,machine-2-5,GCAD,95.6,91.5,93.5,127
SMD,machine-2-5,STAMP,72.5,67.1,69.7,41
SMD,machine-2-5,DAMP,70.4,61.9,65.9,53
SMD,machine-2-5,Ours,98.3,95,96.6,128
SMD,machine-2-6,k-means,63.9,56.2,59.8,14
SMD,machine-2-6,OCSVM,64,56.7,60.1,14
SMD,machine-2-6,MAD-GAN,87.3,81.3,84.2,24
SMD,machine-2-6,OmniAnomaly,89.8,80,84.6,181
SMD,machine-2-6,USAD,95.9,91.6,93.7,70
SMD,machine-2-6,GDN,82.1,74.7,78.2,20
SMD,machine-2-6,AT,95.8,90.7,93.2,225
SMD,machine-2-6,TranAD,88.2,79.1,83.4,21
SMD,machine-2-6,FuSAGNet,86.3,78.1,82,430
SMD,machine-2-6,MTGFlow,90.3,83.8,86.9,171
SMD,machine-2-6,GCAD,94.2,89.3,91.7,141
SMD,machine-2-6,STAMP,64.3,57,60.4,34
SMD,machine-2-6,DAMP,65.1,56.3,60.4,48
SMD,machine-2-6,Ours,99,97.2,98.1,114
SMD,machine-2-7,k-means,68.4,64.1,66.2,16
SMD,machine-2-7,OCSVM,59.2,52.8,55.8,16
SMD,machine-2-7,MAD-GAN,84.1,74.8,79.2,22
SMD,machine-2-7,OmniAnomaly,91.5,83.3,87.2,159
